organ,n_cells,n_files
brain,180232,32
palatine tonsil,127744,33
esophagus,93842,9
blood,70000,1
colon,69878,7
skin,65656,6
artery,62056,6
muscle,51367,5
heart,40480,4
adipose,36731,4
pancreas,33346,4
small,32067,3
lung,30810,4
thyroid,29054,3
nerve,28711,3
uterus,21445,2
stomach,21128,4
mammary,20567,2
UMB4540,17560,2
parapharyngeal space,12466,2
vagina,9817,1
ovary,8705,1
adrenal,8416,1
prostate gland,7366,2
liver,6828,1
breast,6172,2
quadriceps femoris,4688,1
omentum,3836,2
muscle of pelvis,2358,1
eye,1209,1
